datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23
23.02.2025;Bundestagswahl;03159016;101;101 Lohberg (1);1;1;503;292;0;795;418;7;4;414;2;416;111;86;85;73;116;125;20;24;27;28;45;53;;4;;0;;0;2;1;;1;8;6;;1;0;1;;0;;13;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;102;102 Lohberg (2);1;1;563;229;0;792;447;4;5;442;1;446;107;93;77;64;95;101;13;11;61;58;73;88;;2;;0;;2;2;1;;1;13;8;;0;1;1;;0;;16;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;103;103 Breslauer Straße (1);1;1;657;256;0;913;554;1;3;551;2;552;144;124;78;66;151;143;15;11;53;55;97;124;;3;;1;;2;3;0;;0;10;7;;1;0;1;;2;;12;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;104;104 Breslauer Straße (2);1;1;554;150;0;704;382;1;3;379;3;379;86;80;82;72;68;58;12;15;64;68;58;68;;3;;0;;1;4;1;;0;4;2;;0;1;0;;0;;11;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;105;105 Beethovenstraße (1);1;1;707;372;0;1079;542;2;3;539;1;541;127;96;97;90;184;168;17;15;12;16;91;127;;1;;1;;4;4;1;;0;4;4;;2;3;3;;0;;13;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;106;106 Beethovenstraße (2);1;1;683;308;0;991;587;4;5;582;1;586;147;117;122;109;185;166;24;34;44;40;52;78;;2;;0;;1;1;2;;0;7;16;;1;0;1;;0;;19;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;107;107 Schillerwiese (1);1;1;635;313;0;948;571;5;3;568;0;571;146;131;124;94;197;194;16;35;24;27;50;67;;3;;2;;1;3;1;;0;7;2;;0;1;0;;0;;14;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;108;108 Schillerwiese (2);1;1;451;241;0;692;400;4;3;397;2;398;82;71;105;93;116;103;27;34;32;35;29;40;;2;;0;;5;2;0;;0;3;0;;0;1;0;;1;;14;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;109;109 Rohnsweg;1;1;528;322;0;850;462;3;1;461;0;462;112;92;133;104;123;139;11;29;21;25;53;60;;2;;0;;2;4;2;;0;4;2;;1;0;0;;0;;4;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;110;110 Hermann-Föge-Weg;1;1;393;192;0;585;360;4;0;360;0;360;75;54;87;74;127;131;9;18;16;17;39;56;;1;;1;;2;1;0;;1;6;3;;0;0;0;;0;;2;;;;;;;;;;;;;;
23.02.2025;Bundestagswahl;03159016;111;111 Grotefendstraße (1);1;1;398;161;0;559;361;5;0;361;0;361;90;71;87;74;120;119;16;20;14;15;28;47;;3;;0;;2;1;0;;0;5;1;;0;0;0;;0;;9;;;;;;;;;;;;;;
