datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21
26.09.2021;Wahl zum Deutschen Bundestag;03159016;101;101 Lohberg (1);1;1;488;307;0;795;358;3;1;357;0;358;59;45;84;88;27;29;0;15;140;123;29;34;0;2;0;4;0;2;0;3;0;0;0;0;0;0;0;0;1;0;16;10;0;0;1;0;0;0;0;0;0;3
26.09.2021;Wahl zum Deutschen Bundestag;03159016;102;102 Lohberg (2);1;1;558;265;0;823;345;2;8;337;6;339;60;40;102;112;20;23;0;17;110;94;32;25;0;7;0;4;0;2;0;2;0;0;0;0;0;1;2;1;1;0;10;7;0;0;0;0;0;0;0;3;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;103;103 Breslauer Straße (1);1;1;581;338;0;919;410;4;6;404;3;407;47;34;100;122;21;22;0;17;190;146;33;46;0;5;0;1;0;3;0;0;0;0;0;0;0;0;1;0;1;0;10;4;0;0;1;0;0;3;0;0;0;4
26.09.2021;Wahl zum Deutschen Bundestag;03159016;104;104 Breslauer Straße (2);1;1;573;145;0;718;326;0;3;323;6;320;55;41;113;112;29;26;0;19;100;87;17;16;0;9;0;2;0;1;0;2;0;0;0;0;0;0;0;1;1;1;5;2;0;0;3;0;0;0;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;105;105 Beethovenstraße (1);1;1;653;476;0;1129;431;1;6;425;4;427;62;47;73;82;35;33;0;7;207;178;35;43;0;9;0;3;0;4;0;2;0;0;0;0;0;2;2;2;2;0;8;10;0;0;1;0;0;1;0;1;0;3
26.09.2021;Wahl zum Deutschen Bundestag;03159016;106;106 Beethovenstraße (2);1;1;583;383;0;966;457;5;5;452;1;456;106;88;96;119;42;42;0;17;165;145;24;24;0;4;0;1;0;1;0;2;0;1;0;0;0;0;2;0;0;0;15;9;0;0;2;0;0;0;0;3;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;107;107 Schillerwiese (1);1;1;554;396;0;950;434;2;8;426;8;426;94;76;86;102;30;40;0;12;180;153;26;22;0;7;0;1;0;0;0;2;0;0;0;0;0;2;1;1;1;0;7;7;0;0;1;0;0;0;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;108;108 Schillerwiese (2);1;1;382;300;0;682;313;2;5;308;1;312;82;66;64;68;30;31;0;16;111;100;9;14;0;3;0;3;0;1;0;1;0;0;0;0;0;1;0;0;1;0;11;6;0;0;0;0;0;1;0;1;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;109;109 Rohnsweg;1;1;448;415;0;863;375;0;4;371;1;374;93;70;73;73;36;56;0;14;137;131;21;17;0;4;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;8;5;0;0;3;0;0;1;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;110;110 Hermann-Föge-Weg;1;1;390;217;0;607;318;0;4;314;2;316;67;61;52;67;22;27;0;8;142;117;24;30;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;5;1;0;0;1;0;0;2;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;111;111 Grotefendstraße (1);1;1;367;206;0;573;309;0;0;309;1;308;76;63;61;76;25;31;0;6;126;108;14;16;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;5;0;0;0;0;0;0;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;112;112 Nonnenstieg (1);1;1;503;293;0;796;421;6;3;418;2;419;81;62;98;98;40;46;0;8;150;125;41;66;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;5;4;0;0;1;0;0;0;0;3;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;113;113 Nonnenstieg (2);1;1;518;345;0;863;332;1;3;329;1;331;75;44;71;85;25;34;0;16;131;110;16;21;0;4;0;3;0;1;0;1;0;1;0;0;0;1;0;0;1;0;8;5;0;0;2;0;0;1;0;1;0;3
26.09.2021;Wahl zum Deutschen Bundestag;03159016;114;114 Nikolausberg (1);1;1;448;229;0;677;339;0;4;335;3;336;109;67;87;112;30;41;0;15;88;71;16;17;0;6;0;3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;4;2;0;0;0;0;0;0;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;115;115 Nikolausberg (2);1;1;403;339;0;742;342;2;2;340;2;340;105;65;79;94;32;48;0;16;104;94;9;8;0;3;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;11;6;0;0;0;0;0;0;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;116;116 Roringen;1;1;490;236;0;726;369;0;9;360;2;367;112;81;124;137;26;37;0;15;76;65;16;14;0;3;0;3;0;0;0;3;0;1;0;2;0;0;0;0;0;0;6;3;0;0;0;0;0;1;0;0;0;2
26.09.2021;Wahl zum Deutschen Bundestag;03159016;117;117 Herberhausen (1);1;1;444;258;0;702;336;0;1;335;0;336;84;64;88;96;35;37;0;7;113;107;12;12;0;3;0;3;0;2;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;2
26.09.2021;Wahl zum Deutschen Bundestag;03159016;118;118 Herberhausen (2);1;1;380;173;0;553;303;0;1;302;0;303;92;74;103;104;27;39;0;10;55;50;17;16;0;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;5;1;0;0;2;0;0;2;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;119;119 Nikolausberg (3);1;1;719;315;0;1034;536;3;5;531;2;534;119;80;152;164;43;54;0;22;174;150;30;44;0;4;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;11;8;0;0;2;0;0;0;0;1;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;120;120 Grotefendstraße (2);1;1;273;232;0;505;233;1;3;230;0;233;97;77;38;45;18;27;0;5;67;63;7;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;1;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;201;201 Stegemühlenweg (1);1;1;529;315;0;844;419;1;3;416;2;417;46;38;70;89;17;18;0;11;205;166;56;75;0;4;0;1;0;0;0;2;0;0;0;0;0;0;2;0;1;0;18;11;0;0;1;0;0;0;0;1;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;202;202 Stegemühlenweg (2);1;1;566;217;0;783;359;0;4;355;1;358;48;38;137;142;25;23;0;14;95;87;39;31;0;3;0;4;0;2;0;5;0;0;0;0;0;0;0;0;2;1;8;6;0;0;1;0;0;0;0;0;0;2
26.09.2021;Wahl zum Deutschen Bundestag;03159016;203;203 Stegemühlenweg (3);1;1;527;300;0;827;350;5;3;347;5;345;37;22;81;90;14;23;0;4;168;139;38;42;0;2;0;5;0;0;0;2;0;0;0;1;0;0;1;0;0;1;8;9;0;0;0;0;0;1;0;2;0;2
26.09.2021;Wahl zum Deutschen Bundestag;03159016;204;204 Danziger Straße (1);1;1;585;309;0;894;445;1;4;441;2;443;48;41;97;108;36;29;0;15;203;160;44;64;0;7;0;4;0;1;0;2;0;0;0;0;0;1;2;0;2;1;6;3;0;0;3;0;0;1;0;4;0;2
26.09.2021;Wahl zum Deutschen Bundestag;03159016;205;205 Danziger Straße (2);1;1;554;252;0;806;381;1;4;377;7;374;42;35;93;95;24;17;0;15;161;140;46;47;0;6;0;4;0;2;0;3;0;1;0;0;0;1;2;1;0;0;6;3;0;0;3;0;0;0;0;0;0;4
26.09.2021;Wahl zum Deutschen Bundestag;03159016;206;206 Danziger Straße (3);1;1;508;254;0;762;342;0;3;339;3;339;73;65;86;110;17;17;0;11;125;95;26;31;0;3;0;0;0;0;0;2;0;0;0;3;0;0;1;0;2;0;8;2;0;0;1;0;0;0;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;207;207 Stadtstieg (1);1;1;542;236;0;778;371;4;10;361;7;364;90;72;129;135;17;23;0;15;90;78;25;24;0;7;0;2;0;3;0;1;0;0;0;1;0;0;0;0;0;0;9;3;0;0;1;0;0;0;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;208;208 Stadtstieg (2);1;1;671;402;0;1073;423;2;13;410;8;415;59;55;142;147;36;27;0;21;124;93;37;42;0;7;0;8;0;0;0;3;0;0;0;0;0;0;0;0;0;0;7;4;0;1;5;1;0;0;0;3;0;3
26.09.2021;Wahl zum Deutschen Bundestag;03159016;209;209 Sandersbeek (1);1;1;555;315;0;870;390;9;4;386;1;389;67;48;99;119;11;14;0;18;173;154;24;22;0;4;0;2;0;1;0;0;0;0;0;1;0;1;1;0;0;0;10;4;0;0;1;0;0;0;0;1;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;210;210 Sandersbeek (2);1;1;603;306;0;909;424;1;4;420;3;421;80;61;118;138;33;27;0;31;141;110;33;29;0;6;0;3;0;3;0;4;0;0;0;0;0;0;1;0;0;0;12;4;0;0;2;0;0;0;0;2;0;3
26.09.2021;Wahl zum Deutschen Bundestag;03159016;211;211 Tegeler Weg (1);1;1;610;188;0;798;328;1;12;316;5;323;62;43;148;142;34;21;0;39;41;41;20;16;0;6;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;11;9;0;0;0;0;0;0;0;1;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;212;212 Tegeler Weg (2);1;1;329;320;0;649;149;1;3;146;3;146;52;51;47;46;16;16;0;2;27;28;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;213;213 Gehrenring;1;1;433;290;0;723;322;1;3;319;3;319;80;68;83;94;24;27;0;9;105;85;20;25;0;1;0;2;0;1;0;0;0;1;0;0;0;0;2;0;0;0;5;4;0;0;0;0;0;1;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;214;214 Trift (1);1;1;612;319;0;931;447;2;5;442;4;443;107;84;124;143;33;32;0;24;131;105;30;27;0;4;0;4;0;3;0;1;0;0;0;0;0;0;2;0;1;0;13;11;0;1;1;0;0;1;0;2;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;215;215 Trift (2);1;1;555;312;0;867;373;7;6;367;2;371;70;62;104;113;36;37;0;19;121;93;26;22;0;3;0;5;0;4;0;2;0;0;0;0;0;1;0;0;0;0;9;5;0;0;1;1;0;1;0;2;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;216;216 Alt-Geismar (1);1;1;586;333;0;919;433;2;5;428;4;429;89;71;116;123;30;28;0;26;141;116;38;38;0;8;0;5;0;2;0;4;0;0;0;0;0;1;0;0;1;1;11;4;0;1;2;0;0;0;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;217;217 Alt-Geismar (2);1;1;542;327;0;869;379;0;0;379;1;378;74;64;98;112;30;27;0;11;140;118;27;21;0;9;0;3;0;1;0;2;0;0;0;0;0;0;2;0;0;0;8;6;0;0;0;0;0;1;0;2;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;218;218 Treuenhagen (1);1;1;390;231;0;621;288;0;1;287;0;288;71;53;71;76;16;17;0;19;101;95;24;23;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;2;0;0;1;0;0;0;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;219;219 Treuenhagen (2);1;1;444;185;0;629;351;3;0;351;5;346;77;59;87;102;31;37;0;9;125;94;24;32;0;6;0;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3;3;0;0;3;0;0;0;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;220;220 Kiessee-Karree (1);1;1;389;218;0;607;263;3;5;258;3;260;58;49;70;74;27;22;0;15;87;78;9;10;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;4;0;3
26.09.2021;Wahl zum Deutschen Bundestag;03159016;221;221 Zietenterrassen (1);1;1;820;375;0;1195;519;5;5;514;0;519;86;60;137;141;55;57;0;35;172;147;42;34;0;9;0;10;0;1;0;1;0;0;0;0;0;0;0;0;1;1;19;9;0;0;2;0;0;1;0;9;0;4
26.09.2021;Wahl zum Deutschen Bundestag;03159016;222;222 Kiessee-Karree (2);1;1;440;290;0;730;385;3;3;382;5;380;72;52;97;106;25;34;0;12;170;159;10;10;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;7;5;0;0;1;0;0;0;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;223;223 Zietenterrassen (2);1;1;412;262;0;674;338;2;1;337;0;338;98;77;69;77;46;40;0;19;107;101;7;10;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;2;0;8;2;0;0;0;0;0;0;0;1;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;301;301 Hagenberg (1);1;1;553;168;0;721;327;0;4;323;1;326;65;46;131;104;33;28;0;23;68;87;22;21;0;1;0;4;0;0;0;5;0;1;0;1;0;0;1;0;0;0;3;3;0;0;0;0;0;0;0;1;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;302;302 Hagenberg (2);1;1;635;170;0;805;341;1;4;337;0;341;63;46;121;128;23;28;0;24;79;60;35;31;0;9;0;4;0;2;0;1;0;0;0;0;0;0;1;1;3;1;11;4;0;1;1;0;0;0;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;303;303 Robert-Bosch-Breite;1;1;528;108;0;636;260;0;3;257;4;256;69;59;100;81;22;21;0;26;48;38;12;19;0;1;0;2;0;0;0;2;0;1;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;3;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;304;304 Pfalz-Grona-Breite (1);1;1;533;148;0;681;314;2;1;313;3;311;52;37;116;109;18;25;0;14;81;64;31;41;0;5;0;1;0;3;0;4;0;0;0;1;0;0;2;0;0;0;10;3;0;0;3;0;0;2;0;1;0;1
26.09.2021;Wahl zum Deutschen Bundestag;03159016;305;305 Pfalz-Grona-Breite (2);1;1;468;193;0;661;250;0;6;244;4;246;49;38;88;76;16;21;0;14;68;63;17;22;0;6;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;5;1;0;0;0;0;0;0;0;1;0;0
26.09.2021;Wahl zum Deutschen Bundestag;03159016;306;306 Egelsberg (1);1;1;483;195;0;678;342;3;4;338;6;336;60;45;105;97;21;26;0;16;112;92;24;38;0;5;0;3;0;0;0;4;0;0;0;1;0;0;1;0;0;0;13;7;0;1;2;0;0;0;0;1;0;0
