Vorwahlkampf,Türen,geöffnet,gespräch,zusagen,Adressen im gebiet,besuchte Adressen,Ergebnisse 25,Ergebnisse 21
312,311,92,22,,180,65,19.1,
313,310,107,29,,116,80,17.2,
315,267,85,24,,99,34,18.5,
314,253,98,21,,133,95,20.6,
505,401,123,39,,129,92,35.6,20
305,527,176,41,,166,135,23.8,8.9
304,417,118,26,,192,117,20.4,13.1
104,259,104,21,,88,50,17.9,5
106,95,47,9,,unbekannt,22,13.3,5.2
201,161,58,13,,115,28,26.2,17.9
307,272,114,33,,244,146,15.5,9.1
306,151,74,26,7,196,94,18.4,11.3
516,132,35,10,12,116,42,36,22.7
512,217,62,27,14,204,56,38.5,19
519,547,134,59,32,160,59,32.5,15.4
302,234,80,23,5,176,104,16.5,9
403,401,156,73,28,80,37,28.1,11.8
301,65,33,7,0,222,41,11.5,6.4
517,43,9,4,1,91,12,40.2,26.7
510,293,104,30,23,116,65,32.7,11.3
203,120,52,32,19,118,31,29.8,12.1
202,246,134,35,10,79,30,15.4,8.6
201,423,162,44,30,106,77,26.2,17.9
204,404,156,48,29,139,88,27.3,14.4
205,119,38,10,4,117,20,23.1,12.5
315,196,74,28,15,107,38,18.5,5.1
312,484,178,89,39,185,136,19.1,7.7
313,539,212,79,24,123,97,17.2,7.2
314,441,168,47,22,133,124,20.6,6.6
317,480,199,58,18,210,176,12.9,5.2
208,305,129,60,32,182,83,19.4,10.1
414,190,89,28,5,204,132,11.6,3.7
